date,Topic0,Topic1,Topic0.1,Topic1.1,Topic2,Topic3,Topic4,Anger,Disgust,Fear,Joy,Sadness,Surprise,Trust,Anticipation,Angry,Happy,Satisfaction,Stress,close,open
7/13/2018,0.178779694,0.821220309,0.293184067,0.354867412,0.051477346,0.200366851,0.100104326,0.016227007,0.009984856,0.056036064,0.448958444,0.052515123,0.187539296,0.190643797,0.038095404,0.138420212,0.974209793,0.840435903,0.068369119,112.69,111.9
7/14/2018,0.165204423,0.834795582,0.448783654,0.235704281,0.060726827,0.182887841,0.071897395,0.011280258,0.006227254,0.05283374,0.485013595,0.044703036,0.174028621,0.180248551,0.045664927,0.122888693,0.983964434,0.839336361,0.049220153,112.7575,112.12
7/15/2018,0.174918225,0.825081776,0.475417301,0.171618667,0.087329035,0.153355332,0.124782603,0.014376574,0.035504778,0.07777542,0.440886428,0.04164545,0.177863428,0.17089376,0.041054144,0.221083464,0.920775535,0.746978705,0.111921874,112.825,112.56
7/16/2018,0.077183747,0.92281625,0.344103856,0.44450066,0.025674412,0.129179279,0.065980997,0.012594168,0.018118223,0.06271608,0.413049544,0.039372142,0.222955328,0.188506497,0.042688011,0.166880361,0.985704008,0.791008579,0.046107705,112.96,113.47
7/17/2018,0.136074463,0.863925534,0.223358305,0.576297677,0.032858898,0.069296536,0.098188595,0.011827961,0.01744956,0.068318356,0.466206851,0.050124173,0.207806577,0.140179767,0.038086744,0.156214784,0.961107745,0.82621662,0.105522885,114.88,113.74
8/16/2018,0.517727603,0.482272388,0.275690468,0.167898369,0.043885952,0.019720989,0.492804213,0.010582409,0.006315864,0.036078911,0.317487174,0.062040603,0.234162645,0.255998082,0.077334301,0.176674385,0.999076602,0.832650632,0.007887647,114.25,112
9/6/2018,0.405447443,0.594552557,0.296138479,0.137923362,0.033723612,0.074409264,0.481004661,0.009424524,0.00459282,0.030016387,0.301380498,0.141495074,0.247184301,0.20352544,0.062380967,0.245550315,0.988096418,0.827609598,0.023213677,113.5,112.85
9/7/2018,0.451329986,0.54867002,0.281088745,0.20413445,0.04407568,0.090714836,0.403831904,0.014948241,0.006220187,0.040064414,0.307750984,0.092393973,0.246252751,0.228014016,0.064355429,0.195534363,0.959902391,0.833536353,0.04327312,112.74,112.8675
9/8/2018,0.617930965,0.382069039,0.233306404,0.141007679,0.06440157,0.080078591,0.544313306,0.009217669,0.004048507,0.026665749,0.285716044,0.098439945,0.229690436,0.250987211,0.095234454,0.148555857,0.924983689,0.904326281,0.076705199,112.9475,112.885
9/9/2018,0.556524745,0.443475258,0.263455371,0.161967088,0.032179351,0.143216693,0.420716071,0.00867911,0.004600259,0.036759879,0.257249985,0.095854278,0.265704508,0.250289826,0.080862171,0.177329332,0.937378981,0.867089629,0.071225262,113.155,112.92
